time,user_cpu,sys_cpu,min_fault,virtual_mem,ram_mem,bytes_read,bytes_write,sockets,num_fd,Servlet_1,Servlet_2,Servlet_3,Servlet_4,Servlet_5,Servlet_6,Servlet_7,Servlet_8,Servlet_9,Servlet_10,Servlet_11,Servlet_12,Servlet_13,Servlet_14,Servlet_15,Servlet_16,Servlet_17,Servlet_18,Servlet_19,Servlet_20,Servlet_21,Servlet_22,Servlet_23,Servlet_24,Servlet_25,Servlet_26,Servlet_27,Servlet_28,Servlet_29,Servlet_30,Servlet_31,Servlet_32,Servlet_33,Servlet_34,Servlet_35,Servlet_36,Servlet_37,Servlet_38,Servlet_39,Servlet_40,Servlet_41,Servlet_42,Servlet_43,Servlet_44,Servlet_45,Servlet_46,8445_bytesSent,8445_bytesReceived,8445_requestCount,8445_maxTime,8445_processingTime,8445_errorCount,RequestProcessor_1,RequestProcessor_2,RequestProcessor_3,SQL_source_1,SQL_source_2,SQL_source_3,SQL_source_4,num_8445_requests
2.3859,-0.49649,-0.58036,-0.32203,3.9659,3.7566,-0.015809,-0.33857,0.12414,0.12379,-0.041109,-0.10657,-0.1642,-0.1991,-1.8086,-1.2508,-0.082717,-0.088355,-0.23648,-0.24358,-0.022361,-0.172,-0.174,-0.033382,-0.036281,-0.022252,-0.022361,-0.056184,-0.3078,-0.022084,-0.021213,-0.056967,-0.058727,-0.088801,-0.11238,-0.068521,-0.0575,0.12996,0,0.47322,0.042935,-0.051486,-0.053134,-0.02833,1.0389,-0.030006,-0.023555,-0.021926,-0.097365,-0.12487,-0.069985,-0.075578,-0.035342,-0.036909,-0.015809,-0.015809,0.0044272,-0.0059443,0.0046584,2.9292,-0.00016691,0.0078208,-0.99913,0.68657,-0.16659,-2.407,2.3139,0.57175,-0.067573,0.18825
2.3867,-0.15001,-0.32759,-0.26571,3.9659,3.7566,-0.015809,-0.31258,0.061141,0.060751,-0.041109,-0.10657,-0.1642,-0.1991,0.015748,-0.6955,-0.082717,-0.088355,-0.23648,-0.24358,-0.022361,-0.172,-0.174,-0.033382,-0.036281,-0.022252,-0.022361,-0.052623,-0.28274,-0.022084,-0.021213,-0.056967,-0.058727,-0.088801,-0.11238,-0.068521,-0.0575,0.04814,0,-0.18169,0.042935,-0.051486,-0.053134,-0.02833,1.0389,-0.030006,-0.023555,-0.021926,-0.097365,-0.12487,-0.069985,-0.075578,-0.035342,-0.036909,-0.015809,-0.015809,0.1832,0.0051378,0.016714,2.9292,0.01823,0.0078208,1.0006,0.68657,0.10557,-5.1337,4.9447,0.57175,-0.067573,0.18825
2.3876,-0.24559,-0.074831,-0.00020109,3.9659,3.7566,-0.015809,0.59707,0.31314,0.31289,-0.041109,-0.10657,0.52445,3.9872,-0.72144,-0.6955,-0.082717,-0.088355,-0.23648,-0.24358,-0.022361,-0.172,-0.174,-0.033382,-0.036281,-0.022252,-0.022361,-0.05388,-0.057162,-0.022084,-0.021213,-0.056967,-0.058727,-0.088801,-0.11238,0.51565,1.038,0.4736,0,-0.18169,0.042935,-0.051486,-0.053134,-0.02833,1.0389,-0.030006,-0.023555,-0.021926,-0.097365,-0.12487,-0.069985,-0.075578,-0.035342,-0.036909,-0.015809,-0.015809,0.013037,0.036205,0.079001,2.9292,0.013059,0.062448,-0.99913,0.68657,-0.16659,0.31962,-0.31693,0.57175,-0.067573,0.18825
2.3885,-0.19183,-0.10643,-0.24157,3.9659,3.7566,-0.015809,0.42813,0.12414,0.12379,-0.041109,-0.10657,-0.1642,-0.1991,0.015238,-0.14018,-0.082717,-0.088355,-0.23648,-0.24358,-0.022361,-0.172,-0.174,-0.033382,-0.036281,-0.022252,-0.022361,-0.055616,-0.28274,-0.022084,-0.021213,-0.056967,-0.058727,-0.088801,-0.11238,0.89017,0.49025,-0.058226,0,0.47322,0.042935,-0.051486,-0.053134,-0.02833,1.0389,-0.030006,-0.023555,-0.021926,-0.097365,-0.12487,-0.069985,-0.075578,-0.035342,-0.036909,-0.015809,-0.015809,0.01029,0.001523,0.018723,2.9292,0.018291,0.062448,1.0006,0.68657,0.24166,0.31962,-0.31693,0.57175,-0.067573,0.18825
2.3893,-0.34715,-0.45397,-0.33544,3.9659,3.7566,-0.015809,-0.31258,0.061141,0.060751,-0.041109,-0.10657,-0.1642,-0.1991,-0.020754,-0.14018,-0.082717,-0.088355,-0.23648,-0.24358,-0.022361,-0.172,-0.174,-0.033382,-0.036281,-0.022252,-0.022361,-0.05796,-0.35793,-0.022084,-0.021213,-0.056967,-0.058727,-0.088801,-0.11238,-0.068521,-0.0575,-0.050044,0,0.47322,0.042935,-0.051486,-0.053134,-0.02833,1.0389,-0.030006,-0.023555,-0.021926,-0.097365,-0.12487,-0.069985,-0.075578,-0.035342,-0.036909,-0.015809,-0.015809,0.006727,-0.010572,0.0086769,2.9292,0.012412,0.0078208,-0.99913,0.68657,-0.16659,0.31962,-0.31693,0.57175,-0.067573,0.18825
2.3902,-0.030534,-0.043235,-0.29789,3.9659,3.7566,-0.015809,0.42813,0.31314,0.31289,0.37244,7.9387,1.9018,3.9872,-0.11954,-0.14018,8.3129,11.315,-0.23648,-0.24358,-0.022361,-0.172,-0.174,-0.033382,-0.036281,-0.022252,-0.022361,-0.057509,-0.3078,-0.022084,-0.021213,-0.056967,-0.058727,-0.088801,-0.11238,-0.068521,-0.0575,0.75997,0,-0.18169,0.042935,-0.051486,-0.053134,-0.02833,1.0389,-0.030006,-0.023555,-0.021926,-0.097365,-0.12487,-0.069985,-0.075578,-0.035342,-0.036909,-0.015809,-0.015809,0.017189,-0.0029513,0.068955,2.9292,0.017137,0.1717,1.0006,0.68657,-0.030509,0.31962,-0.31693,0.57175,-0.067573,0.18825
2.3911,-0.22767,-0.23281,-0.30326,3.9659,3.7566,-0.015809,-0.33857,0.18714,0.18682,-0.041109,-0.10657,-0.1642,-0.1991,0.073182,-0.14018,-0.082717,-0.088355,-0.23648,-0.24358,-0.022361,-0.172,-0.174,-0.033382,-0.036281,-0.022252,-0.022361,-0.056205,-0.28274,-0.022084,-0.021213,-0.056967,-0.058727,-0.088801,-0.11238,-0.068521,-0.0575,-0.32823,0,-0.8366,0.042935,-0.051486,-0.053134,-0.02833,1.0389,-0.030006,-0.023555,-0.021926,-0.097365,-0.12487,-0.069985,-0.075578,-0.035342,-0.036909,-0.015809,-0.015809,0.0069525,0.0016766,0.014705,2.9292,0.015355,0.0078208,-0.99913,0.68657,-0.16659,0.31962,-0.31693,0.57175,-0.067573,0.18825
2.3919,-0.13806,-0.10643,-0.091386,3.9659,3.7566,-0.015809,-0.15664,0.12414,0.12379,0.22212,3.9161,-0.1642,-0.1991,-0.003141,-0.14018,-0.082717,-0.088355,-0.23648,-0.24358,-0.022361,-0.172,-0.174,-0.033382,-0.036281,-0.022252,-0.022361,-0.053991,-0.18248,-0.022084,-0.021213,-0.056967,-0.058727,-0.088801,-0.11238,-0.068521,-0.0575,-0.07459,0,-0.18169,0.042935,-0.051486,-0.053134,-0.02833,1.0389,-0.030006,-0.023555,-0.021926,-0.097365,-0.12487,-0.069985,-0.075578,-0.035342,-0.036909,-0.015809,-0.015809,0.013048,0.016473,0.024751,2.9292,0.018102,0.0078208,1.0006,0.68657,0.10557,0.31962,-0.31693,0.57175,-0.067573,0.18825
2.3928,-0.02456,-0.043235,-0.16648,3.9659,3.7566,-0.015809,-0.15664,0.31314,0.31289,0.14308,3.9161,-0.1642,-0.1991,0.049443,-0.14018,-0.082717,-0.088355,-0.23648,-0.24358,-0.022361,-0.172,-0.174,-0.033382,-0.036281,-0.022252,-0.022361,-0.052146,-0.13235,-0.022084,-0.021213,-0.056967,-0.058727,-0.088801,-0.11238,-0.068521,-0.0575,-0.0050429,0,9.6419,0.042935,-0.051486,-0.053134,-0.02833,1.0389,-0.030006,-0.023555,-0.021926,-0.097365,-0.12487,-0.069985,-0.075578,-0.035342,-0.036909,-0.015809,-0.015809,0.011172,0.025583,0.02877,2.9292,0.020322,0.0078208,-0.99913,0.68657,-0.16659,0.31962,-0.31693,0.57175,-0.067573,0.18825
2.3937,-0.23962,-0.20121,-0.13966,3.9659,3.7566,-0.015809,-0.18263,0.12414,0.12379,0.27764,7.9387,-0.1642,-0.1991,-0.0958,-0.14018,-0.082717,-0.088355,-0.23648,-0.24358,-0.022361,-0.172,-0.174,-0.033382,-0.036281,-0.022252,-0.022361,-0.054694,-0.082226,-0.022084,-0.021213,-0.056967,-0.058727,-0.088801,-0.11238,-0.068521,-0.0575,-0.31596,0,-0.18169,0.042935,-0.051486,-0.053134,-0.02833,1.0389,-0.030006,-0.023555,-0.021926,-0.097365,-0.12487,-0.069985,-0.075578,-0.035342,-0.036909,-0.015809,-0.015809,0.015057,0.034447,0.034797,2.9292,0.017704,0.0078208,1.0006,0.68657,0.10557,0.31962,-0.31693,0.57175,-0.067573,0.18825
